Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,    102,   102.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.8.html)"
     1,      1,     1.00, Query.fromType(org.jboss.windup.reporting.model.ApplicationReportModel).as(default)
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.112.html)"
     1,     78,    78.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, StepMeasurement_java.html)"
     1,     38,    38.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Counter_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PowerMock (embedded)).as(default)"
     1,     61,    61.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.141.html)"
     1,     80,    80.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.11.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mule (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jetbrick Template (embedded)).as(default)"
     1,    275,   275.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.163.html)"
     1,     30,    30.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PetAllOfDto_java.html)"
     1,    173,   173.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.54.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Log.io (embedded)).as(default)"
     1,     72,    72.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, XlintDefault_properties.html)"
     1,     90,    90.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.14.html)"
     1,     99,    99.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TimedHandler_java.html)"
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.43.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SSL (embedded)).as(default)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.67.html)"
     1,     40,    40.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NoopGauge_java.html)"
     1,    124,   124.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Meter_java.html)"
     1,     30,    30.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.152.html)"
   134,    143,     1.07, TechnologyTag.performParameterized
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SQLite Driver).as(default)"
     1,    142,   142.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DebugModel_java.html)"
     1,     68,    68.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.170.html)"
     1,    140,   140.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.29.html)"
     1,      5,     5.00, Query.fromType(org.jboss.windup.graph.model.WindupConfigurationModel).gremlin()org.jboss.windup.rules.apps.java.scan.provider.DiscoverFilesAndTypesRuleProvider$$Lambda$303/0x00000001002e9840@4ea47cc.as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,3scale (embedded)).as(default)"
     1,     64,    64.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.3.html)"
     1,    112,   112.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeLongTaskTimer_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BeanInject (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Commons Validator (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Peaberry (embedded)).as(default)"
     1,     98,    98.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CountAtBucket_java.html)"
     1,     95,    95.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.138.html)"
     1,     32,    32.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Visit_java.html)"
     1,    132,   132.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.148.html)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HttpContextUtils_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Syringe (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,GIN (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SwarmCache (embedded)).as(default)"
     1,     69,    69.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.104.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jetty (embedded)).as(default)"
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.91.html)"
     1,     54,    54.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.51.html)"
     1,    192,   192.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TimeWindowFixedBoundaryHistogram_java.html)"
 14682,   9155,     0.62, "FileService.createByFilePath(parentFile, filePath)"
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.24.html)"
     1,    233,   233.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SimpleMeterRegistry_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Iroh (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Karaf (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,LiferayFaces (embedded)).as(default)"
     1,    116,   116.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeFunctionTimer_java.html)"
     1,     70,    70.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.75.html)"
     1,     11,    11.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.RMIServiceModel).as(default)
     1,      3,     3.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Snippetory Template Engine (embedded)).as(default)"
     1,     70,    70.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MicrometerHttpRequestExecutor_java.html)"
     1,    105,   105.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, version_properties.110.html)"
     1,    133,   133.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.143.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Flume (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion EJB XML).as(default)"
     1,     33,    33.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, messages_en_properties.html)"
     1,    156,   156.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RequiredSearch_java.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-webservices-bnd.xmi).has(rootTagName,EQUALS,WSBinding).as(default)"
     1,    103,   103.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, weaver_messages_properties.html)"
   134,     23,     0.17, GraphService.findAllByProperty(ClassificationModel-classification)
   358,      1,     0.00, iterableHasContent
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBoss logging (embedded)).as(default)"
     1,    129,   129.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeCounter_java.html)"
     1,     92,    92.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, StepRegistryConfig_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Tapestry (embedded)).as(default)"
     1,     73,    73.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.122.html)"
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DebuggerListener_java.html)"
    96,     14,     0.15, projectModelToOrganizations
   484,    585,     1.21, GraphService.findAllByPropertyMatchingRegex(filePath)
     1,    120,   120.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, KafkaConsumerMetrics_java.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ICEfaces (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Trunk JGuard (embedded)).as(default)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Kibana (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jcabi Log (embedded)).as(default)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, version_properties.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Plexus Container (embedded)).as(default)"
     1,     92,    92.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.4.html)"
     2,      3,     1.50, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Liferay (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EclipseLink (embedded)).as(default)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,jboss).has(fileName,EQUALS,jboss.xml).as(default)"
     1,    102,   102.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Debugger_java.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JsFileModel).as(default)
     1,     95,    95.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.7.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.HtmlFileModel).as(default)
     1,    128,   128.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.69.html)"
     1,    167,   167.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeFunctionCounter_java.html)"
     1,     77,    77.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RestErrorDto_java.html)"
     1,     69,    69.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, JettyServerThreadPoolMetrics_java.html)"
     2,      1,     0.50, Query.fromType(org.jboss.windup.rules.apps.javaee.model.SpringBeanModel).as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Atomikos JTA (embedded)).as(default)"
     1,    128,   128.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.108.html)"
     1,    280,   280.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DropwizardMeterRegistry_java.html)"
     1,    136,   136.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.124.html)"
    15,      1,     0.07, getUniqueByName(qualifiedName)
  1154,     47,     0.04, getTechnologyTagsForFile
     1,    109,   109.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.52.html)"
     1,   1111,  1111.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, OwnerDto_java.html)"
 87598,    414,     0.00, FilePathComparator
     1,    136,   136.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.120.html)"
     1,     72,    72.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.27.html)"
     1,    174,   174.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, StepMeterRegistry_java.html)"
     2,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbMessageDrivenModel).as(default)
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSilver (embedded)).as(default)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, JettyConnectionMetrics_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Messaging Client (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Everit JTA (embedded)).as(default)"
     1,   1007,  1007.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JavaClassFileModel).gremlin().has(parseError,NOT_DEFINED,null).as(default)"
     1,    260,   260.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.176.html)"
     1,    189,   189.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, UptimeMetrics_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ActiveMQ (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Memcached client (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Resource Adapter (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,DbUnit (embedded)).as(default)"
     1,      7,     7.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,weblogic-ejb-jar).as(default)"
     1,    143,   143.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.179.html)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HystrixMetricsBinder_java.html)"
     1,     64,    64.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.26.html)"
     1,    176,   176.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.37.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Seam (embedded)).as(default)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CountedAspect_java.html)"
    12,    788,    65.67, XmlFile.evaluate
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Accumulo Client).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Airlift Log Manager (embedded)).as(default)"
     1,    404,   404.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.html)"
     1, 381758, 381758.00, AnalyzeJavaFilesRuleProvider.analyzeFile
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hdiv (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Water Template Engine (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(eb11a75a-3b30-4c11-9ac3-d84aa50968a5)"
     1,    535,   535.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeMeterRegistry_java.html)"
     1,    118,   118.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.html)"
     1,    113,   113.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.193.html)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.45.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Ikasan (embedded)).as(default)"
     1,     41,    41.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.174.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hazelcast (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OpenFaces (embedded)).as(default)"
     1,     47,    47.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.121.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Macros (embedded)).as(default)"
     1,     50,    50.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Specialty_java.html)"
     1,    133,   133.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AbstractMeter_java.html)"
   288,   4087,    14.19, sortProjectTraversalsByPathAscending
     1,      4,     4.00, Query.fromType(org.jboss.windup.reporting.model.TechnologyUsageStatisticsModel).as(default)
     1,     78,    78.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, User_java.html)"
     1,     88,    88.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Pet_java.html)"
     1,     32,    32.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PetTypeDto_java.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.83.html)"
     1,     29,    29.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HttpServletRequestTagsProvider_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OW2 Log Util (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HTTP Client (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apiman (embedded)).as(default)"
     1,    105,   105.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.31.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebLogic Web XML).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebSphere EJB Ext).as(default)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.156.html)"
     1,    100,   100.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.178.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Twitter Util Logging (embedded)).as(default)"
     1,    156,   156.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, KafkaClientMetrics_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,AcrIS Security (embedded)).as(default)"
     1,     41,    41.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.159.html)"
     1,     96,    96.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.60.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mockito (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.JmsDestinationModel).gremlin().has(destinationType,EQUALS,TOPIC).as(default)"
     1,    110,   110.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CumulativeDistributionSummary_java.html)"
     1,    154,   154.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.175.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Synapse (embedded)).as(default)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.192.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,CDI (embedded)).as(default)"
   100,    733,     7.33, getEffortDetailsForProjectTraversal
191829,     14,     0.00, TypeInterestFactory.matchesAny(text).cacheCheck
     1,    231,   231.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TimeWindowPercentileHistogram_java.html)"
     1,     84,    84.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.125.html)"
     1,    254,   254.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.22.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Javax Inject (embedded)).as(default)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.142.html)"
     1,    137,   137.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.88.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Coherence (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle Forms (embedded)).as(default)"
     1,    112,   112.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.171.html)"
     1,    116,   116.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeTimer_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Grails (embedded)).as(default)"
     1,    104,   104.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.128.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,NLOG4J (embedded)).as(default)"
     1,    159,   159.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.191.html)"
     1,     45,    45.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.177.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Play Test (embedded)).as(default)"
     1,    160,   160.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeCustomMeter_java.html)"
     1,     43,    43.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.98.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Pega (embedded)).as(default)"
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.48.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,AngularFaces (embedded)).as(default)"
     1,     97,    97.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.127.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebSphere WS Binding).as(default)"
     1,   1106,  1106.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, application_hsqldb_properties.html)"
     1,    706,   706.00, "FreeMarkerIterationOperation.render(/reports/templates/unparsable_files.ftl, Unparsable_spring_petclinic_rest.html)"
     1,      0,     0.00, isFileADirectory
     1,     32,    32.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ANTLR StringTemplate (embedded)).as(default)"
     1,    131,   131.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.71.html)"
     1,    140,   140.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.107.html)"
     1,    217,   217.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.21.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbEntityBeanModel).as(default)
     1,    122,   122.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Metrics_java.html)"
     1,    105,   105.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MeterFilter_java.html)"
     1,     80,    80.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.72.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,UberFire (embedded)).as(default)"
    96,   1360,    14.17, sortFilesByPathAscending
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Needle (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Blaze (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(c09e78c6-d884-4ba7-b818-7a36d2359d82)"
 27394,    734,     0.03, GraphService.create
   180,     13,     0.07, projectModelToSha1
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Commons JCS (embedded)).as(default)"
     1,    143,   143.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.23.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.DataSourceModel).gremlin().has(isXA,EQUALS,false).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Petals EIP (embedded)).as(default)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.34.html)"
     2,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.DataSourceModel).gremlin().has(isXA,EQUALS,true).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Clustering Web Session).as(default)"
     1,     96,    96.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.47.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RabbitMQ Client (embedded)).as(default)"
